全宋诗：高
壮风吐虹蝩，忠诚贯日月。

插剑露肝胆，看镜念勋业。

何当拔茅茹 ，同在陈力列。

高登

高登　冒寒行风雨有感

号风撼枯卉，冻雨凝路尘。

乾坤秘日月，八荒同一云。

遥知沙漠寒，黯淡愁杀人。

天涯望不极，流涕满衣巾。

高登

高登　梦游故山

风际氅披鹤，云根杖策鸠。

幽栖知好在，归梦故难留。

山放数峰出，泉分一派流。

把茅何日办，缚屋护松楸。

高登

高登　觅蠹椽

顾影低徊只自怜，怕寒时耸作诗肩。

全家食粥已数月，坐客无毡今几年。

君劈槽烧当止酒，我和琴爨况无弦。

雪中送炭从来事，况尔羁躬觅蠹椽。

高登

高登　七夕

天道杳难凭，人言殊不经。

佳期传七夕，欢事污双星。

女騣占蛛巧，儿痴托鹊灵。

吾诗非好诋，聊与订顽冥。

高登

高登　乞米

臣饥欲死侏儒饱，方朔谁怜是岁星。

馆下诸生笑丰暖，江头渔父诮清醒。

鲁公已作乞米帖，陶令旋寻储粟瓶。

亲旧依然眼相向，故应特地为吾青。

高登

高登　上元

情感此宵元切恨，遣怀高唱一声歌。

清澄月满铺逵路，烜赫莲开未绿荷。

觥酒滞时追伴侣，袖香凝处想纨罗。

更深候望遥肠断，爽约人归不我过。

高登

高登　水涨谢邑宰送米

心知一字不堪煮，砽砽穷年黄卷中。

食粥由来未为过，储瓶况乃嗟屡空。

令君好贤媲韩愈，贱子受赐惭卢仝。

春水从教绕舍北，痴儿不复啼门东。

高登

高登　思归

忽忽已秋杪，言归欣有期。

节物想吾庐，青蕊繁东篱。

流匙白云子，蘸甲黄鹅儿。

对此忆羁旅，多应歌式微。

喜慰倚门心，愁消举案眉。

稚子闹檐隙，绕膝牵人衣。

归兴念如许，兼程犹苦迟。

明朝秋色里，乌帽风披披。

高登

高登　似春阁

二阁宁独暖，万家方号寒。

何当放春去，和气满人间。

高登

高登　送元大

但得身长健，何妨发已华。

胸中翻锦绣，笔下走龙蛇。

作掾只三语，读书空五车。

卷怀良得计，去去卧烟霞。

高登

高登　小原欲归

潮颊香醪晕醉红，{左革右登}敲归路勒青骢。

水涵万顷曾孙稼，月逗盈衿少女风。

大误平生缘画足，无聊中夜只书空。

拟将方宇难论事，直扣天门问化工。

高登

高登　偕学子游都峤

甲子岁秋杪，负罪西南驰。

脚历山万重，身坠天一涯。

茅茨蔽聚落，培塿围孤埤。

何处有洞天，玄真之所栖。

维南颇挺拔，隐隐浮修眉。

采菊东篱下，悠然一见之。

欲往觉旌摇，兀坐嗟黏黐。

彼美二三子，知我多爱奇。

□□□□□，□□登翠微。

天公喜我来，阁雨云垂垂。

坤灵喜我来，林壑回春姿。

山禽喜我来，上下鸣嘤咿。

江梅喜我来，蓓蕾敷南枝。

高兴□幽寻，绝□□□□。

□□□如许，郁葱琐烟□。

谁遣衢聃徒，列此怪状为。

□冯贤主人，痛□弥年非。

我生逢百罹，不慕太庙牺。

况从夺袍简，欣若脱马羁。

投荒得胜践，□与□分宜。

清芬追六逸，余龄寄三危。

明时甘自誓，敢□□□词。

暂游已难得，短畧仍易移。

山脚趣回驭，□□□□□。

□□意默契，欲下思惧迟。

准拟供冥搜，草木□□□。

□气知多少，凄入诗人脾。

暮途双迳松，归马四□□。

出没山光里，乌帽风波披。

高登

高登　言怀

